SampleName,Type
CRC1272LMX0A05003TUMR05000,LMX
CRC1709LMX0A02004TUMR09000,LMX
CRC0498PRX0A01001TUMR01000,PRX
CRC1175PRX0A01001TUMR01000,PRX
CRC1460LMX0B02002TUMR01000,LMX
CRC0492LMX0B02001TUMR01000,LMX
CRC0420LMX0A02001TUMR06000,LMX
CRC0356LMX0A03003TUMR01000,LMX
CRC0538LMX0A02003TUMR01000,LMX
CRC0553PRX0A01001TUMR05000,PRX
CRC0153LMX0B05010TUMR02000,LMX
CRC1520PRX0A01001TUMR01000,PRX
CRC0312LMX0B02201TUMR03000,LMX
CRC0121LMX0A07208TUMR02000,LMX
CRC0518LMX0A02002TUMR05000,LMX
CRC0440LMX0A03001TUMR04000,LMX
CRC1586LMX0A01001TUMR01000,LMX
CRC0716LMX0B02002TUMR01000,LMX
CRC0032LMX0A02204TUMR05000,LMX
CRC0731LMX0A02002TUMR01000,LMX
CRC0549PRX0A02002TUMR01000,PRX
CRC0578LMX0A02002TUMR02000,LMX
CRC1917LMX0B02001TUMR05000,LMX
CRC1399LMX0A02003TUMR01000,LMX
CRC0031LMX0A05012TUMR01000,LMX
CRC0340PRX0A01201TUMR01000,PRX
CRC0330LMX0A06006TUMR01000,LMX
CRC0626LMX0A02002TUMR01000,LMX
CRC0121LMX0A02204TUMR04000,LMX
CRC1188PRX0B02004TUMR01000,PRX
CRC1360LMX0B05005TUMR01000,LMX
CRC0707PRX0A01001TUMR09000,PRX
CRC0130LMX0A02201TUMR02000,LMX
CRC0708LMX0A02003TUMR01000,LMX
CRC1875LMX0A02001TUMR01000,LMX
CRC0771LMX0B03012TUMR05000,LMX
CRC1326LMX0A02001TUMR01000,LMX
CRC1350LMX0B02002TUMR01000,LMX
CRC0542LMX0B03006TUMR09000,LMX
CRC1190PRX0B02002TUMR01000,PRX
CRC1331LMX0B04001TUMR05000,LMX
CRC1325PRX0B02003TUMR01000,PRX
CRC0515LMX0A03007TUMR05000,LMX
CRC1072LMX0A02001TUMR01000,LMX
CRC0428PRX0A01001TUMR01000,PRX
CRC0263PRX0A01201TUMR09000,PRX
CRC1331LMX0A04004TUMR01000,LMX
CRC0161LMO0C05029002R01000,LMO
CRC0024LMX0A02201TUMR07000,LMX
CRC0264LMX0A05033TUMR02000,LMX
CRC0435LMX0A03005TUMR03000,LMX
CRC0480LMX0B02001TUMR02000,LMX
CRC1181PRX0A02004TUMR01000,PRX
CRC0290PRX0A01201TUMR01000,PRX
CRC0349LMX0A02203TUMR08000,LMX
